ElementID,Name,Abstract Data Type,Data Type Semantics,Status,Units,Range
0,Reserved,,,,,
1,octetDeltaCount,unsigned64,deltaCounter,current,octets,
2,packetDeltaCount,unsigned64,deltaCounter,current,packets,
3,deltaFlowCount,unsigned64,deltaCounter,current,flows,
4,protocolIdentifier,unsigned8,identifier,current,,
5,ipClassOfService,unsigned8,identifier,current,,
6,tcpControlBits,unsigned16,flags,current,,
7,sourceTransportPort,unsigned16,identifier,current,,
8,sourceIPv4Address,ipv4Address,default,current,,
9,sourceIPv4PrefixLength,unsigned8,,current,bits,0-32
10,ingressInterface,unsigned32,identifier,current,,
11,destinationTransportPort,unsigned16,identifier,current,,
12,destinationIPv4Address,ipv4Address,default,current,,
13,destinationIPv4PrefixLength,unsigned8,,current,bits,0-32
14,egressInterface,unsigned32,identifier,current,,
15,ipNextHopIPv4Address,ipv4Address,default,current,,
16,bgpSourceAsNumber,unsigned32,identifier,current,,
17,bgpDestinationAsNumber,unsigned32,identifier,current,,
18,bgpNextHopIPv4Address,ipv4Address,default,current,,
19,postMCastPacketDeltaCount,unsigned64,deltaCounter,current,packets,
20,postMCastOctetDeltaCount,unsigned64,deltaCounter,current,octets,
21,flowEndSysUpTime,unsigned32,,current,milliseconds,
22,flowStartSysUpTime,unsigned32,,current,milliseconds,
23,postOctetDeltaCount,unsigned64,deltaCounter,current,octets,
24,postPacketDeltaCount,unsigned64,deltaCounter,current,packets,
25,minimumIpTotalLength,unsigned64,,current,octets,
26,maximumIpTotalLength,unsigned64,,current,octets,
27,sourceIPv6Address,ipv6Address,default,current,,
28,destinationIPv6Address,ipv6Address,default,current,,
29,sourceIPv6PrefixLength,unsigned8,,current,bits,0-128
30,destinationIPv6PrefixLength,unsigned8,,current,bits,0-128
31,flowLabelIPv6,unsigned32,identifier,current,,0-0xFFFFF
32,icmpTypeCodeIPv4,unsigned16,identifier,current,,
33,igmpType,unsigned8,identifier,current,,
34,samplingInterval,unsigned32,quantity,deprecated,packets,
35,samplingAlgorithm,unsigned8,identifier,deprecated,,
36,flowActiveTimeout,unsigned16,,current,seconds,
